file_name,label
/Volumes/SamDick/Grad Project/Data/ML/train/0.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/1.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/2.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/3.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/4.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/5.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/6.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/7.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/8.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/9.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/10.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/11.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/12.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/13.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/14.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/15.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/16.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/17.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/18.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/19.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/20.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/21.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/22.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/23.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/24.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/25.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/26.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/27.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/28.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/29.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/30.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/31.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/32.npy,1
/Volumes/SamDick/Grad Project/Data/ML/train/33.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/34.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/35.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/36.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/37.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/38.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/39.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/40.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/41.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/42.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/43.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/44.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/45.npy,1
/Volumes/SamDick/Grad Project/Data/ML/train/46.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/47.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/48.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/49.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/50.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/51.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/52.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/53.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/54.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/55.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/56.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/57.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/58.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/59.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/60.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/61.npy,1
/Volumes/SamDick/Grad Project/Data/ML/train/62.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/63.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/64.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/65.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/66.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/67.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/68.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/69.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/70.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/71.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/72.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/73.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/74.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/75.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/76.npy,1
/Volumes/SamDick/Grad Project/Data/ML/train/77.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/78.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/79.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/80.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/81.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/82.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/83.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/84.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/85.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/86.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/87.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/88.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/89.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/90.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/91.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/92.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/93.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/94.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/95.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/96.npy,1
/Volumes/SamDick/Grad Project/Data/ML/train/97.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/98.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/99.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/100.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/101.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/102.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/103.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/104.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/105.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/106.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/107.npy,1
/Volumes/SamDick/Grad Project/Data/ML/train/108.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/109.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/110.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/111.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/112.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/113.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/114.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/115.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/116.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/117.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/118.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/119.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/120.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/121.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/122.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/123.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/124.npy,0
/Volumes/SamDick/Grad Project/Data/ML/train/125.npy,0
